Tipo_de_Propiedad,Zona,Fecha_Publicacion,Latitud,Longitud,Precio,Gastos_Comunes,Fecha_Construccion,Estado,Disposicion,Banos,M2_edificados,M2_de_terraza,M2_del_terreno,Dormitorios,Garajes,Vivienda_Social,Descripcion
Casa,Centro,2024-08-28,-33.9969621,-58.2868347,128000,0.0,1969.0,Buen estado,,1.0,0,0,296,3.0,0.0,False,"                                    NUEVO PRECIO!!En venta Casa y Apartamento en u mismo padrón ubicados en zona céntrica de la ciudad de Carmelo, las propiedades se ubican a una cuadra de la plaza Artigas y a 5 cuadras de la Independencia.La casa se compone de living y comedor, cocina, baño, dos dormitorios, vestidor, patio con parrillero techado.El apartamento está compuesto por living-comedor, amplio dormitorio, cocina, baño y patio chico.Consulte por financiación   Código de referencia: GHO*** Si te interesó la propiedad puedes coordinar visita a través de los números ALQUILERES  Oficina *** / *** VENTAS *** (Martin Gonzalez)/ *** (Carlos Veliz)Estamos ubicados en Zorrilla de San Martín 447 esquina Roosevelt, Carmelo - Uruguay."
Apartamento,Centro,2024-09-03,,,105000,403.95,1955.0,A reciclar,No aplica,2.0,204,0,204,4.0,0.0,False,"Muy buena construcción de 204 metros cuadrados, pisos de parquet y amplios ambientes.
Espacio para living
Espacio de comedor diario 
4 dormitorios
2 baños
Cuenta con ascensor y vigilancia
Referencia Interna : Tera-15029"
Apartamento,Pocitos,2024-09-02,-34.9241072,-56.1546421,380000,0.0,2019.0,Excelente estado,Al frente,2.0,80,0,0,2.0,1.0,False,"Ubicado en en exclusivo punto de la ciudad, a metros de la Rambla de Punta Carretas, Golf, Shopping y Parque Villa Biarritz.Edificio de gran categoría que predominan sus terminaciones de excelente calidad y sus aberturas vidriadas de piso a techo y sus espacios verdes.Terraza en su último piso, con excelentes vistas panorámicas, parrillero que permite conectarte con la naturaleza.Apartamento con living hacía el frente con cocina integrada, equipada con Anafe y Horno Empotrado y Campana marca Beko, Lavadero con conexión para 2 calefones, 2 baños completos uno en Suite, ambos con mampara de vidrio. 2 dormitorios amplios hacía contra frente interno verde con luz, suite principal con vestidor y segundo dormitorio con placard cómodo.Garage cómodo de la unidad.Sistema de calefacción eléctrica individual sectorizada con regulador electrónico, conexión empotrada por lo que no se ven los Split.¡Coordina tu visita! Vende Ocean Negocios Inmobiliarios"
Casa,Carrasco Norte,2024-09-07,-34.872965065184,-56.065449125795,260000,37.5,2024.0,Sin Definir,No aplica,2.0,80,0,70,3.0,1.0,False,"En Carrasco Norte y sobre calle muy tranquila se desarrolla esta unidad en Propiedad Horizontal a estrenar.
Ubicada a pocas cuadras de vías principales con acceso a Sector servicios y Colegios.

Buenos materiales y terminaciones.
Inmejorable oportunidad de compra accesible, en zona de alta demanda y en constante renovación.

Se desarrolla en 2 Plantas.
PB: Recibidor, toilette, estar, comedor y cocina integrada completa. 
Ventanal amplio con salida a exterior.
PA: Tres cuartos de diferente área, con placares y un baño completo. 

La unidad cuenta con Parrillero exterior (acceso desde estar) , área verde y una posición de cochera.
Reja perimetral y portón eléctrico.
Destaca mínimo gasto común para mantenimiento de servicios compartidos.

Desarrollado por profesionales con experiencia y trayectoria en la ejecución de proyectos de este tipo.
Consultanos por más detalles.


"
Casa,Carrasco,2024-09-05,,,320000,0.0,1959.0,Buen estado,No aplica,1.0,100,0,269,2.0,1.0,False,"Living comedor con estar y estufa a leña al frente con conexión al estar
Cocina definida con comedor diario
2 dormitorios
1 baño 
Patio con parrillero con salida desde el estar y cocina
Jardín al frente 

Garaje cerrado

Jardín de uso común con cancha de futbol
Referencia Interna : Tera-15348"
Apartamento,Malvín,2024-09-05,-34.8868833,-56.1060211,170000,197.25,,Excelente estado,Al frente,1.0,50,2,0,2.0,2.0,False,"Inmobiliaria Vilanova vende apartamento con renta. Ubicado en Malvin sur, complejo E-TowerSegundo piso por ascensor, todo al Norte, muy soleado. Living comedor amplio. Cocina integrada con muebles aéreos y bajo mesada. Terraza lavadero con instalación para lavarropaPasillo y hall de distribución con placares. Dos dormitorios con placares.Baño completoEquipado con: Aire acondicionado en living y dormitorios, cortinas roller, calefón, apliques de luz.GARAJE PARA DOS COCHES. Amenities del complejo:Seguridad 24 horasBarbacoas en piso 14Laundry G. C. $ 7.890Fondo de reserva: $1.010Contribución: $18.000 al añoPrimaria: $3.800 al añoAlquilado en $ 32.500 desde setiembre 2024, garantía ANDA. "
Apartamento,Carrasco,2024-08-19,,,595000,800.0,2013.0,Buen estado,No aplica,3.0,299,0,299,3.0,2.0,False,"Living comedor con estufa a leña y salida al jardín
Cocina definida con placares, anafe y campana extractora, y salida a terraza lavadero 
3 dormitorios 
3 baños completos, dos en suite
Terraza con parrillero y amplio jardín
Garaje para dos autos con boxes 

Cuenta con cerca eléctrica en todo el perímetro, persianas con sistema eléctrico, calefacción y agua caliente central por caldereta a gas.

Edificio cuenta con portería 24 hrs y servicio de jardinería y riego. 
Referencia Interna : Tera-15184"
Casa,Prado,2024-09-05,-34.868671,-56.205819,490000,0.0,1966.0,Buen estado,Al frente,3.0,279,0,481,5.0,4.0,False,"VENTA PARA EXIGENTES.Financiación directa con entrega USD 490.000.Precio total: USD 870.000.Ubicada sobre Av. Agraciada. Sólida casa de 5 dorm., 4 baños, 4 cocheras, jardín y barbacoa.Seguridad, amplitud y confort.Reciclada en 2001. ¡Nada para hacerle, lista para entrar!Planta baja: Amplio jardín con cerca perimetral de 6 hilos. Espacio para 3 vehículos más garaje. Portón eléctrico basculante en la casa y garaje.Alarma y automatización de luces.Interiores: Puerta de cedro. Calefacción por radiador. Parquet de lapacho en el living (8x4 m) con moquette.Aire acondicionado. Placard empotrado en oficina (planta baja) con salida al patio. Cortina eléctrica.Cocina y servicios: Cocina completa, aéreos y bajo mesada. Extractor, heladera James con doble filtro. Caldereta a gas. Lavadero con jardín de invierno, lavarropas y 2 secarropas (8 kg cada uno).Comedor diario: Doble ventana al patio, aire acondicionado. Tablero eléctrico que controla extractor, calefacción y aire acondicionado.Dormitorios: Dormitorio con baño en suite, salida a patio de invierno, placard empotrado, aire acondicionado. Placares empotrados en pasillos.Segundo dorm. al contrafrente, salida al fondo, placard, aire acondicionado, ventana de aluminio.Tercer dorm. amplio, placard, aire acondicionado, salida a patio.Cuarto dorm. con placard empotrado, aire acondicionado, persianas eléctricas, ventana a patio lateral.Patio exterior y barbacoa: Barbacoa con parrillero y aire acondicionado. Cobertizo.Planta alta: Escalera con vestidor.Dormitorio en suite con: baño con jacuzzi, estufa a leña con forzador de aire, terraza con persiana eléctrica.Oficina en suite con escritorio de cedro y kitchenette.Única. (CW219629)"
Apartamento,Puerto Buceo,2024-09-06,-34.9025331,-56.132942,234000,15.0,,A estrenar,Al frente,2.0,65,0,0,2.0,0.0,False,"Amplio Apartamento al Frente con Excelente Ubicación y Comodidades Modernas             Este luminoso apartamento al frente, ubicado en una zona privilegiada a solo 100 metros de la Rambla y del complejo WTC/Montevideo Shopping, ofrece una oportunidad única en el mercado inmobiliario. Con una distribución de dos dormitorios grandes y dos baños (uno en suite), esta propiedad destaca por su confort y funcionalidad.Características Principales:Estufa a leña en el living para disfrutar de ambientes cálidos.Balcón ideal para relajarse y disfrutar del entorno.Bajos gastos comunes e impuestos, ideal para una inversión rentable.Construcción de excelente calidad con paredes gruesas y techos altos.Totalmente reciclado con acabados de buen gusto y materiales de alta calidad.Ventanas nuevas de aluminio blanco con vidrio doble en áreas principales para aislamiento acústico.Pisos de parquet en excelente estado en living y dormitorios.Ubicación y Entorno:Ubicado en una zona en constante crecimiento y con todos los servicios a su disposición, incluyendo educación, gastronomía, comercios, supermercados y transporte público accesible hacia toda la ciudad, aeropuerto y costa este.Seguridad y Confort:La propiedad cuenta con rejas en todas las aberturas y está situada en el primer piso, evitando problemas de humedad y ofreciendo tranquilidad y seguridad. La azotea impermeabilizada está en perfecto estado.Equipamiento Adicional (opcional):Se incluye equipamiento moderno en cocina y baño social, así como aires acondicionados en todos los ambientes y lavarropas a medida, todo en óptimas condiciones y disponible para la venta junto con la propiedad.Esta es una oportunidad única para quienes buscan un hogar seguro y cómodo en una ubicación privilegiada de Montevideo. No pierdas la oportunidad de conocer este apartamento que combina estilo, funcionalidad y una excelente inversión.Para más información o coordinar una visita, no dudes en contactarnos."
Apartamento,Pocitos Nuevo,2024-08-02,-34.903745875560205,-56.142475605010986,125000,100.0,2022.0,Buen estado,Contrafrente,1.0,36,5,0,,1.0,False,"Ideal para renta. Alquilado hasta diciemnre en 23milCocina equipada. Terraza al contrfrente. Garaje compartidoContribución anual $8000, primaria $3000Edificio con Solarium y parrillero"
